Journal,Comment,Quartile 2024,Quartile from mean JIF,JCR abbreviation,Publisher,ISSN,eISSN,Category,Edition,2016 JIF,2017 JIF,2018 JIF,2019 JIF,2020 JIF,Mean JIF,N papers,N papers OA,% papers OA,N papers policy cites,% papers policy cites,N countries,N sources,% multiple PC
ANIMAL CONSERVATION,,Q2,Q1,ANIM CONSERV,WILEY,1367-9430,1469-1795,BIODIVERSITY CONSERVATION,SCIE,2.835,2.889,3.048,3.21,3.65,3.13,419,228,54.4,134,32,30,101,55
NeoBiota,"Years 2016-2020, first JIF 2018",Q1,Q1,NEOBIOTA,PENSOFT PUBLISHERS,1619-0033,1314-2488,BIODIVERSITY CONSERVATION,SCIE,,3.405,2.488,2.643,3.684,3.06,189,183,96.8,100,52.9,28,61,59
Conservation Physiology,,Q2,Q1,CONSERV PHYSIOL,OXFORD UNIV PRESS,2051-1434,2051-1434,BIODIVERSITY CONSERVATION,SCIE,2.323,3.46,3.634,2.57,3.079,3.01,482,467,96.9,128,26.6,22,76,57.5
BIOLOGICAL INVASIONS,,Q2,Q1,BIOL INVASIONS,SPRINGER,1387-3547,1573-1464,BIODIVERSITY CONSERVATION,SCIE,2.473,3.154,2.897,3.087,3.133,2.95,1406,260,18.5,496,35.3,42,154,58
BIODIVERSITY AND CONSERVATION,,Q1,Q2,BIODIVERS CONSERV,SPRINGER,0960-3115,1572-9710,BIODIVERSITY CONSERVATION,SCIE,2.265,2.828,3.142,2.935,3.551,2.94,1076,213,19.8,328,30.5,37,174,59
Global Ecology and Conservation,,Q1,Q2,GLOB ECOL CONSERV,ELSEVIER,N/A,2351-9894,BIODIVERSITY CONSERVATION,SCIE,,2.174,2.751,2.526,3.38,2.71,1107,1106,99.9,305,27.6,42,184,58
PALEOBIOLOGY,,Q2,Q2,PALEOBIOLOGY,CAMBRIDGE UNIV PRESS,0094-8373,1938-5331,BIODIVERSITY CONSERVATION,SCIE,2.886,2.4,2.354,1.951,2.892,2.5,198,69,34.8,3,1.5,4,4,49.5
ENVIRONMENTAL CONSERVATION,,Q2,Q2,ENVIRON CONSERV,CAMBRIDGE UNIV PRESS,0376-8929,1469-4387,BIODIVERSITY CONSERVATION,SCIE,1.826,2.293,2.759,2.434,3.012,2.46,221,93,42.1,85,38.5,25,87,59.5
ORYX,,Q2,Q2,ORYX,CAMBRIDGE UNIV PRESS,0030-6053,1365-3008,BIODIVERSITY CONSERVATION,SCIE,2.191,2.333,2.801,2.199,2.699,2.44,634,604,95.3,202,31.9,34,95,51.5
URBAN ECOSYSTEMS,,Q2,Q2,URBAN ECOSYST,SPRINGER,1083-8155,1573-1642,BIODIVERSITY CONSERVATION,SCIE,1.97,2.005,2.493,2.547,3.005,2.4,610,123,20.2,141,23.1,28,104,52.5
Journal of Ethnobiology and Ethnomedicine,,Q1,Q2,J ETHNOBIOL ETHNOMED,BMC,N/A,1746-4269,BIODIVERSITY CONSERVATION,SCIE,1.903,2.181,2.273,2.264,2.733,2.27,352,352,100,71,20.2,21,44,41.5
JOURNAL FOR NATURE CONSERVATION,,Q2,Q2,J NAT CONSERV,ELSEVIER GMBH,1617-1381,1618-1093,BIODIVERSITY CONSERVATION,SCIE,1.657,1.971,2.289,2.482,2.831,2.25,410,117,28.5,143,34.9,33,123,60
SYSTEMATICS AND BIODIVERSITY,,Q2,Q2,SYST BIODIVERS,TAYLOR & FRANCIS LTD,1477-2000,1478-0933,BIODIVERSITY CONSERVATION,SCIE,2.127,2.215,2.356,1.953,2.41,2.21,278,51,18.3,15,5.4,8,13,42.5
Endangered Species Research,,Q1,Q2,ENDANGER SPECIES RES,INTER-RESEARCH,1863-5407,1613-4796,BIODIVERSITY CONSERVATION,SCIE,1.682,2.312,2.122,2.258,2.029,2.08,377,376,99.7,212,56.2,28,92,71.5
CONSERVATION GENETICS,,Q2,Q2,CONSERV GENET,SPRINGER,1566-0621,1572-9737,BIODIVERSITY CONSERVATION,SCIE,1.515,2.025,2.283,1.917,2.538,2.06,558,101,18.1,172,30.8,24,81,51
POLAR BIOLOGY,,Q3,Q2,POLAR BIOL,SPRINGER,0722-4060,1432-2056,BIODIVERSITY CONSERVATION,SCIE,1.949,1.954,2.002,1.728,2.31,1.99,1022,214,20.9,286,28,25,67,55.5
Diversity-Basel,,Q2,Q2,DIVERSITY-BASEL,MDPI,N/A,1424-2818,BIODIVERSITY CONSERVATION,SCIE,,,2.047,1.402,2.465,1.97,862,862,100,144,16.7,31,85,43
Management of Biological Invasions,,Q3,Q2,MANAG BIOL INVASION,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,1989-8649,N/A,BIODIVERSITY CONSERVATION,SCIE,1.439,2.037,1.515,2.127,2.663,1.96,235,234,99.6,132,56.2,21,70,68.5
Avian Conservation and Ecology,,Q3,Q2,AVIAN CONSERV ECOL,Resilience Alliance,1712-6568,N/A,BIODIVERSITY CONSERVATION,SCIE,1.086,1.436,2.138,2.541,1.763,1.79,185,182,98.4,70,37.8,12,31,62
HUMAN DIMENSIONS OF WILDLIFE,"First JIF in 2016, all years in range covered",Q3,Q3,HUM DIMENS WILDL,TAYLOR & FRANCIS LTD,1087-1209,1533-158X,BIODIVERSITY CONSERVATION,SCIE,,1.317,1.268,1.723,2.771,1.77,228,37,16.2,55,24.1,12,45,58
Marine Biodiversity,,Q3,Q3,MAR BIODIVERS,SPRINGER HEIDELBERG,1867-1616,1867-1624,BIODIVERSITY CONSERVATION,SCIE,1.646,2.077,1.743,1.487,1.533,1.7,809,126,15.6,91,11.2,26,47,41
BIRD CONSERVATION INTERNATIONAL,,Q3,Q3,BIRD CONSERV INT,CAMBRIDGE UNIV PRESS,0959-2709,1474-0001,BIODIVERSITY CONSERVATION,SCIE,1.088,1.493,1.725,1.846,2.287,1.69,222,94,42.3,67,30.2,25,56,46
Nature Conservation-Bulgaria,,Q2,Q3,NAT CONSERV-BULGARIA,PENSOFT PUBLISHERS,1314-6947,1314-3301,BIODIVERSITY CONSERVATION,SCIE,1.355,1.367,1.22,1.58,2.417,1.59,175,170,97.1,58,33.1,21,50,54
AMERICAN MUSEUM NOVITATES,,Q3,Q3,AM MUS NOVIT,AMER MUSEUM NATURAL HISTORY,0003-0082,1937-352X,BIODIVERSITY CONSERVATION,SCIE,0.873,0.979,1.605,2.313,1.963,1.55,114,10,8.8,5,4.4,5,5,24.5
Bulletin of the Peabody Museum of Natural History,,Q4,Q3,B PEABODY MUS NAT HI,PEABODY MUSEUM NATURAL HISTORY-YALE UNIV,0079-032X,2162-4135,BIODIVERSITY CONSERVATION,SCIE,1.071,1.926,1.24,1.9,1.176,1.46,48,5,10.4,0,0,0,0,0
Tropical Conservation Science,,Q3,Q3,TROP CONSERV SCI,SAGE PUBLICATIONS INC,1940-0829,1940-0829,BIODIVERSITY CONSERVATION,SCIE,1.238,1.149,1.327,1.619,1.968,1.46,370,365,98.6,71,19.2,21,64,54.5
Palaeobiodiversity and Palaeoenvironments,,Q3,Q3,PALAEOBIO PALAEOENV,SPRINGER HEIDELBERG,1867-1594,1867-1608,BIODIVERSITY CONSERVATION,SCIE,1.278,1.229,1.07,1.573,1.406,1.31,234,79,33.8,2,0.9,2,2,0
Landscape and Ecological Engineering,,Q2,Q3,LANDSC ECOL ENG,SPRINGER JAPAN KK,1860-1871,1860-188X,BIODIVERSITY CONSERVATION,SCIE,0.692,0.815,1.469,1.647,1.813,1.29,155,20,12.9,15,9.7,10,12,47
REVISTA CHILENA DE HISTORIA NATURAL,,Q3,Q3,REV CHIL HIST NAT,SOC BIOLGIA CHILE,0716-078X,0717-6317,BIODIVERSITY CONSERVATION,SCIE,0.702,0.906,0.75,1.412,2.471,1.25,47,47,100,7,14.9,5,7,33
Biodiversity Data Journal,"First JIF in 2018, all years in range covered",Q3,Q3,BIODIVERS DATA J,PENSOFT PUBLISHERS,1314-2836,1314-2828,BIODIVERSITY CONSERVATION,SCIE,,,1.029,1.331,1.225,1.2,373,369,98.9,28,7.5,15,25,24.5
BioInvasions Records,,Q3,Q3,BIOINVASIONS REC,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,2242-1300,2242-1300,BIODIVERSITY CONSERVATION,SCIE,0.835,1.189,1.198,0.504,1.608,1.07,370,369,99.7,116,31.4,23,55,46
BIOTA NEOTROPICA,,Q3,Q3,BIOTA NEOTROP,REVISTA BIOTA NEOTROPICA,1676-0603,1676-0611,BIODIVERSITY CONSERVATION,SCIE,0.734,0.842,1.277,0.922,1.404,1.04,390,386,99,29,7.4,5,12,31
KOEDOE,,Q3,Q3,KOEDOE,AOSIS,0075-6458,2071-0771,BIODIVERSITY CONSERVATION,SCIE,0.882,0.919,0.9,0.892,1.241,0.97,112,102,91.1,15,13.4,5,10,26.5
JOURNAL OF NATURAL HISTORY,,Q4,Q3,J NAT HIST,TAYLOR & FRANCIS LTD,0022-2933,1464-5262,BIODIVERSITY CONSERVATION,SCIE,0.834,0.875,0.837,1.032,1.016,0.92,750,118,15.7,29,3.9,18,29,34
Conservation Genetics Resources,,Q4,Q4,CONSERV GENET RESOUR,SPRINGER,1877-7252,1877-7260,BIODIVERSITY CONSERVATION,SCIE,0.47,0.742,1.154,1.107,0.973,0.89,667,60,9,28,4.2,12,30,51
ANIMAL BIODIVERSITY AND CONSERVATION,,Q3,Q4,ANIM BIODIV CONSERV,MUSEU DE CIENCIES NATURALS-ZOOLOGIA,1578-665X,2014-928X,BIODIVERSITY CONSERVATION,SCIE,0.532,0.891,0.792,0.867,1,0.82,144,138,95.8,17,11.8,8,18,42
Journal of Fish and Wildlife Management,,Q4,Q4,J FISH WILDL MANAG,U S FISH & WILDLIFE SERVICE,1944-687X,1944-687X,BIODIVERSITY CONSERVATION,SCIE,0.633,0.598,0.981,0.813,0.784,0.76,289,225,77.9,106,36.7,10,36,53.5
Revista Mexicana de Biodiversidad,,Q4,Q4,REV MEX BIODIVERS,"INST BIOLOGIA, UNIV NACIONAL AUTONOMA MEXICO",1870-3453,2007-8706,BIODIVERSITY CONSERVATION,SCIE,0.596,0.609,0.917,0.585,0.716,0.68,610,587,96.2,21,3.4,8,16,26
Eco mont-Journal on Protected Mountain Areas Research,,Q4,Q4,ECO MONT,"AUSTRIAN ACAD SCIENCES PRESS, UNIV INNSBRUCK",2073-106X,2073-1558,BIODIVERSITY CONSERVATION,SCIE,0.333,0.656,0.488,0.667,0.889,0.61,133,111,83.5,7,5.3,6,10,57
CARIBBEAN JOURNAL OF SCIENCE,"Years in range in WoSCC 2016, 2019-2020",Q4,Q4,CARIBB J SCI,UNIV PUERTO RICO,0008-6452,0008-6452,BIODIVERSITY CONSERVATION,SCIE,0.2,,,,0.944,0.57,39,0,0,0,0,0,0,0
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,,Q4,Q4,P LINN SOC N S W,LINNEAN SOC NEW SOUTH WALES,0370-047X,N/A,BIODIVERSITY CONSERVATION,SCIE,0.25,0.375,0.727,0.455,0.941,0.55,39,0,0,,0,,,0
NORTHEASTERN NATURALIST,,Q4,Q4,NORTHEAST NAT,EAGLE HILL INST,1092-6194,1938-5307,BIODIVERSITY CONSERVATION,SCIE,0.431,0.597,0.488,0.538,0.575,0.53,338,14,4.1,60,17.8,6,27,41
PACHYDERM,,Q3,Q4,PACHYDERM,IUCN-SSC ASIAN ELEPHANT SPECIALIST GROUP,1026-2881,N/A,BIODIVERSITY CONSERVATION,SCIE,0.938,0.318,0.292,0.4,0.5,0.49,114,0,0,2,1.8,2,2,0
WESTERN NORTH AMERICAN NATURALIST,,Q4,Q4,WEST N AM NATURALIST,BRIGHAM YOUNG UNIV,1527-0904,1944-8341,BIODIVERSITY CONSERVATION,SCIE,0.311,0.531,0.42,0.447,0.569,0.46,296,27,9.1,54,18.2,5,16,48
SOUTHEASTERN NATURALIST,,Q4,Q4,SOUTHEAST NAT,EAGLE HILL INST,1528-7092,1938-5412,BIODIVERSITY CONSERVATION,SCIE,0.369,0.407,0.404,0.417,0.547,0.43,365,5,1.4,36,9.9,6,21,41.5
SOUTHWESTERN NATURALIST,,Q4,Q4,SOUTHWEST NAT,SOUTHWESTERN ASSOC NATURALISTS,0038-4909,1943-6262,BIODIVERSITY CONSERVATION,SCIE,0.219,0.244,0.226,0.127,0.267,0.22,244,4,1.6,13,5.3,2,5,42.5
NATURAL HISTORY,,Q4,Q4,NAT HIST,NATURAL HISTORY MAGAZINE,0028-0712,N/A,BIODIVERSITY CONSERVATION,SCIE,0.051,0.03,0.045,0.017,0.031,0.03,834,0,0,0,0,0,0,0
