Author count,Paper type,Times cited,180 days usage,Since 2013 usage,Cited in policy,N policy cites,N of pages,Simple OA,.gov,.edu,.org,.csiro,anygov
3,Review,130,13,266,N,0,29,N,0,1,0,0,0
7,Review,26,0,5,N,0,9,N,0,0,0,0,0
3,Review,6,0,19,N,0,21,N,0,0,0,0,0
7,Review,26,1,32,N,0,21,N,0,0,0,0,0
2,Review,52,2,179,Y,4,20,N,0,0,0,0,0
4,Review,301,49,614,Y,7,15,N,0,0,0,0,0
4,Review,41,4,278,Y,1,17,N,0,0,0,0,0
21,Review,76,5,181,N,0,27,N,0,1,0,0,0
3,Review,66,16,292,Y,18,9,N,0,0,0,0,0
3,Review,8,5,44,N,0,43,N,0,0,0,0,0
2,Review,18,2,42,N,0,13,N,0,0,0,0,0
7,Review,81,3,163,N,0,14,N,0,1,0,0,0
4,Review,1003,63,1587,Y,41,13,N,0,0,0,0,0
5,Review,121,2,136,Y,12,13,N,0,0,0,1,1
2,Review,435,60,608,Y,6,33,N,0,0,1,0,1
3,Review,296,14,102,Y,7,11,N,0,0,0,0,0
3,Review,3,0,3,N,0,7,N,0,0,0,0,0
2,Review,118,3,118,Y,2,10,N,0,1,0,0,0
2,Review,25,1,70,N,0,17,N,0,0,0,0,0
3,Review,0,0,4,N,0,4,N,0,0,0,0,0
8,Review,53,3,205,Y,1,12,N,0,0,0,0,0
4,Review,137,7,96,Y,7,8,N,0,0,0,0,0
1,Review,67,0,15,N,0,10,N,1,0,0,0,1
1,Review,43,4,130,N,0,28,N,0,0,0,0,0
4,Review,14,0,28,Y,1,7,N,0,0,0,0,0
1,Review,11,0,77,N,0,23,N,0,0,0,0,0
5,Review,44,0,31,Y,3,11,N,0,1,0,0,0
4,Review,9,1,36,Y,2,13,N,0,1,0,0,0
3,Review,51,2,124,N,0,9,N,0,0,0,0,0
5,Review,10,2,82,Y,1,18,N,0,0,0,0,0
3,Review,30,2,31,Y,1,16,N,0,0,0,0,0
4,Review,120,13,422,Y,4,16,N,0,0,0,0,0
1,Review,3,0,0,N,0,10,N,0,0,0,0,0
1,Review,28,1,17,N,0,42,N,0,0,0,0,0
1,Review,2,0,3,N,0,3,N,0,0,0,0,0
2,Review,18,2,41,Y,1,26,N,0,0,0,0,0
1,Review,3,1,20,N,0,10,N,0,0,0,0,0
2,Review,221,8,318,Y,2,19,N,0,0,0,0,0
1,Review,87,6,262,Y,2,19,N,0,0,0,0,0
8,Review,13,2,32,N,0,21,N,0,0,0,0,0
2,Review,51,1,55,Y,3,13,N,0,0,0,0,0
7,Review,59,1,143,Y,2,10,N,0,1,0,0,0
3,Review,21,0,23,Y,4,11,N,0,0,0,0,0
4,Review,7,1,27,N,0,17,N,0,1,0,0,0
1,Review,15,1,54,Y,3,14,N,0,0,0,0,0
5,Review,106,7,116,Y,6,14,N,0,0,0,0,0
4,Review,70,2,74,Y,9,11,N,0,1,0,1,1
5,Review,14,2,40,Y,8,16,N,0,0,0,0,0
5,Review,111,2,106,Y,1,21,N,0,0,0,0,0
15,Review,57,0,70,N,0,11,N,0,0,0,0,0
16,Review,215,11,341,Y,3,12,N,0,1,0,0,0
4,Review,14,3,52,N,0,15,N,0,0,0,0,0
20,Review,42,1,53,N,0,18,N,0,0,0,0,0
11,Review,14,3,107,N,0,25,N,0,0,0,0,0
5,Review,26,2,18,N,0,18,N,0,0,0,0,0
3,Review,101,2,136,N,0,25,N,0,0,0,0,0
5,Review,47,2,144,N,0,11,N,0,1,0,0,0
2,Review,17,1,4,N,0,21,N,0,0,0,0,0
5,Review,68,6,169,Y,2,17,N,0,0,0,0,0
10,Review,44,13,206,N,0,14,N,0,0,0,0,0
28,Review,125,8,254,Y,7,26,N,0,0,0,0,0
1,Review,25,5,172,Y,10,14,N,0,0,0,0,0
4,Review,35,5,142,Y,1,20,N,0,0,0,0,0
3,Review,95,1,57,Y,3,10,N,0,0,0,0,0
2,Review,73,1,82,Y,6,11,N,0,0,0,0,0
3,Review,37,2,70,Y,5,12,N,0,0,0,0,0
3,Review,11,0,6,N,0,42,N,0,0,0,0,0
2,Review,40,5,91,N,0,9,N,0,0,0,0,0
13,Review,16,0,19,Y,7,11,N,0,0,0,0,0
3,Review,34,2,55,Y,2,12,N,0,0,0,0,0
2,Review,3,0,17,N,0,17,N,0,0,0,0,0
3,Review,271,16,334,Y,2,14,N,0,0,0,0,0
4,Review,0,0,1,N,0,20,N,0,0,0,0,0
4,Review,100,4,167,N,0,12,N,0,0,0,0,0
4,Review,21,1,62,Y,3,17,N,0,0,0,0,0
2,Review,3,1,15,N,0,6,N,0,0,0,0,0
7,Review,51,4,73,Y,2,21,N,0,0,0,0,0
3,Review,6,1,10,N,0,13,N,0,0,0,0,0
2,Review,2376,109,2192,Y,221,20,N,0,1,0,0,0
6,Review,13,1,6,N,0,6,N,0,0,0,0,0
2,Review,8,0,1,N,0,31,N,0,0,0,0,0
4,Review,34,2,68,N,0,10,N,0,0,0,0,0
2,Review,47,3,79,Y,3,12,N,0,0,0,0,0
2,Review,80,1,14,N,0,94,N,0,0,0,0,0
2,Review,10,1,34,N,0,31,N,0,0,0,0,0
2,Review,41,3,79,N,0,20,N,0,0,0,0,0
4,Review,78,1,65,Y,1,9,N,0,0,0,0,0
2,Review,65,4,89,N,0,10,N,0,1,0,0,0
6,Review,39,0,30,Y,2,20,N,0,0,0,0,0
2,Review,48,7,65,Y,1,13,N,0,0,0,0,0
10,Review,145,36,681,N,0,13,N,0,1,0,0,0
2,Review,74,6,82,Y,3,9,N,1,0,0,0,1
4,Review,25,2,67,N,0,12,N,0,0,0,0,0
7,Review,13,2,40,N,0,14,N,0,0,0,0,0
6,Review,52,4,63,Y,1,14,N,0,0,0,0,0
7,Review,30,5,99,Y,2,17,N,0,0,0,0,0
5,Review,44,2,48,Y,2,13,N,0,0,0,0,0
2,Review,94,3,145,Y,4,12,N,0,0,0,0,0
2,Review,23,3,56,Y,1,13,N,0,0,0,0,0
3,Review,48,1,113,N,0,11,N,0,0,0,0,0
7,Review,48,3,61,Y,2,14,N,0,0,0,0,0
1,Review,5,0,29,N,0,19,N,0,0,0,0,0
1,Review,8,0,7,N,0,17,N,0,0,0,0,0
3,Review,4,0,6,N,0,23,N,0,0,0,0,0
3,Review,68,0,94,Y,1,31,N,0,0,0,0,0
21,Review,303,32,528,Y,8,23,N,0,0,0,0,0
4,Review,40,6,66,N,0,17,N,0,0,0,0,0
3,Review,242,9,153,Y,26,15,N,0,0,0,0,0
3,Review,4,0,2,N,0,28,N,0,0,0,0,0
12,Review,31,1,124,N,0,17,N,0,0,0,0,0
4,Review,132,10,382,Y,12,18,N,0,0,0,0,0
5,Review,8,0,37,N,0,10,N,0,0,0,0,0
7,Review,69,7,99,Y,1,18,N,0,0,0,0,0
4,Review,47,2,58,Y,2,36,N,0,0,0,0,0
9,Review,31,8,195,N,0,8,N,0,0,0,0,0
4,Review,27,6,127,N,0,11,N,0,0,0,0,0
5,Review,22,1,40,Y,2,15,N,0,0,0,0,0
3,Review,188,10,310,Y,4,18,N,0,0,0,0,0
5,Review,53,3,139,Y,8,13,N,0,1,0,0,0
5,Review,23,1,65,N,0,13,N,0,0,0,0,0
4,Review,30,1,18,Y,1,12,N,0,0,0,0,0
6,Review,33,3,98,N,0,10,N,0,1,0,0,0
3,Review,13,3,36,Y,1,21,N,0,0,0,0,0
2,Review,13,6,15,N,0,9,N,0,0,0,0,0
4,Review,15,0,26,Y,2,9,N,0,0,0,0,0
5,Review,11,1,58,N,0,10,N,0,0,0,0,0
2,Review,109,4,56,Y,3,15,N,0,0,0,0,0
4,Review,206,16,525,Y,8,11,N,0,0,0,0,0
1,Review,14,5,43,N,0,10,N,0,0,0,0,0
11,Review,14,0,50,N,0,15,N,0,0,0,0,0
7,Review,247,14,403,Y,10,17,N,0,1,0,0,0
3,Review,53,0,3,N,0,53,N,0,0,0,0,0
2,Review,11,1,42,N,0,7,N,0,0,0,0,0
2,Review,41,1,32,N,0,11,N,0,0,0,0,0
5,Review,12,8,71,Y,2,14,N,0,0,0,1,1
7,Review,28,2,60,N,0,20,N,0,1,0,0,0
3,Review,83,12,156,N,0,20,N,0,1,0,0,0
5,Review,424,32,408,Y,40,17,N,0,0,0,0,0
1,Review,71,1,31,N,0,13,N,0,0,0,0,0
2,Review,13,9,97,N,0,19,N,0,0,0,0,0
5,Review,21,2,29,N,0,13,N,0,0,0,0,0
4,Review,32,5,232,Y,8,10,N,0,0,0,0,0
4,Review,116,16,117,Y,12,11,N,0,1,0,0,0
6,Review,35,3,90,Y,3,13,N,0,0,0,0,0
3,Review,10,2,54,N,0,15,N,0,0,0,0,0
9,Review,42,1,49,N,0,13,N,0,0,0,0,0
2,Review,36,3,46,Y,2,10,N,0,0,0,0,0
5,Review,20,1,41,Y,1,9,N,0,1,0,0,0
4,Review,15,4,46,N,0,20,N,0,0,0,0,0
2,Review,4,0,0,N,0,23,N,0,0,0,0,0
3,Review,9,0,18,N,0,27,N,0,0,0,0,0
6,Review,30,1,72,Y,1,15,N,0,0,0,0,0
6,Review,33,2,86,Y,6,13,N,0,1,0,0,0
3,Review,4,0,4,N,0,21,N,0,0,0,0,0
2,Review,62,4,110,Y,4,14,N,0,0,0,0,0
1,Review,55,4,67,Y,3,5,N,0,0,0,0,0
3,Review,53,1,82,Y,2,12,N,0,1,0,0,0
4,Review,24,4,135,N,0,10,N,0,0,0,0,0
2,Review,0,1,4,N,0,15,N,0,0,0,0,0
2,Review,7,1,29,N,0,31,N,0,0,0,0,0
11,Review,34,0,39,Y,2,17,N,0,1,0,0,0
3,Review,2,0,0,N,0,41,N,0,0,0,0,0
3,Review,50,18,331,Y,2,22,N,0,1,0,0,0
4,Review,177,9,286,Y,7,10,N,0,1,0,0,0
2,Review,9,0,18,Y,1,10,N,0,0,0,0,0
4,Review,26,3,75,N,0,16,N,0,0,0,1,1
7,Review,46,3,70,Y,2,16,N,0,0,0,0,0
4,Review,48,7,176,Y,4,9,N,0,0,0,0,0
8,Review,69,5,50,Y,1,23,N,0,0,0,0,0
2,Review,91,3,92,Y,1,9,N,0,0,0,0,0
6,Review,30,1,53,N,0,15,N,0,0,0,0,0
4,Review,79,3,99,Y,2,12,N,0,0,0,0,0
1,Review,32,1,67,Y,3,23,N,0,0,0,0,0
2,Review,95,4,119,N,0,12,N,0,0,0,0,0
2,Review,297,12,219,N,0,15,N,0,0,0,0,0
2,Review,2,0,2,N,0,42,N,0,0,0,0,0
2,Review,123,15,375,N,0,10,N,0,0,0,0,0
4,Review,158,5,219,Y,3,17,N,0,0,0,0,0
4,Review,132,11,175,Y,8,17,N,0,0,0,0,0
5,Review,10,1,16,N,0,13,N,0,0,0,0,0
3,Review,11,0,39,Y,2,7,N,0,0,0,0,0
4,Review,95,11,174,Y,5,10,N,0,0,0,0,0
1,Review,554,76,1108,Y,17,17,N,0,0,0,0,0
4,Review,3,0,28,N,0,6,N,0,0,0,0,0
2,Review,179,4,155,Y,2,14,N,0,0,0,0,0
2,Review,381,58,859,Y,24,18,N,0,0,0,0,0
4,Review,65,10,114,Y,2,11,N,0,0,0,0,0
4,Review,14,3,90,Y,2,18,N,0,0,0,0,0
7,Review,294,7,279,Y,17,9,N,0,1,0,0,0
16,Review,153,2,74,N,0,8,N,0,0,0,0,0
5,Review,40,4,143,Y,1,7,N,1,0,0,0,1
2,Review,35,0,29,N,0,8,N,0,0,0,0,0
5,Review,176,7,170,Y,2,26,N,0,0,0,0,0
3,Review,49,1,68,Y,6,13,N,0,0,0,0,0
4,Review,108,5,264,N,0,9,N,0,1,0,0,0
3,Review,27,2,40,N,0,33,N,0,0,0,0,0
5,Review,31,0,86,Y,2,19,N,0,0,0,0,0
3,Review,14,3,62,N,0,10,N,0,0,0,0,0
7,Review,32,5,72,Y,1,13,N,1,0,0,0,1
2,Review,24,10,98,N,0,22,N,0,0,0,0,0
5,Review,16,0,60,N,0,22,N,0,1,0,0,0
4,Review,4,0,17,N,0,19,N,0,0,0,0,0
4,Review,3,1,45,N,0,6,N,0,0,0,0,0
5,Review,5,0,39,N,0,9,N,0,1,0,0,0
3,Review,28,0,62,Y,3,12,N,0,1,0,0,0
2,Review,96,12,315,Y,3,11,N,0,0,0,0,0
3,Review,8,4,60,N,0,10,N,0,0,1,0,1
4,Review,71,2,48,Y,2,13,N,0,0,0,0,0
3,Review,161,1,113,Y,16,5,N,0,0,0,0,0
10,Review,112,2,24,Y,1,7,N,0,0,0,0,0
8,Review,8,0,46,Y,2,15,N,0,0,0,0,0
2,Review,1,0,5,Y,1,13,N,0,0,0,0,0
2,Review,18,2,42,Y,1,16,N,0,0,0,0,0
5,Review,67,2,83,Y,8,9,N,0,0,0,0,0
10,Review,53,2,87,Y,10,15,N,0,0,0,0,0
3,Review,29,1,32,N,0,11,N,0,0,0,0,0
4,Review,68,8,56,Y,5,8,N,0,1,0,0,0
7,Review,58,4,118,Y,10,15,N,0,0,0,0,0
2,Review,4,0,6,N,0,21,N,0,0,0,0,0
3,Review,29,2,54,Y,1,38,N,0,0,0,0,0
2,Review,19,3,44,Y,2,11,N,0,0,0,0,0
3,Review,18,0,8,N,0,18,N,0,0,0,0,0
2,Review,12,1,45,N,0,15,N,0,0,0,0,0
7,Review,29,3,92,Y,1,9,N,0,1,0,0,0
3,Review,10,1,55,Y,1,19,N,0,0,0,0,0
3,Review,57,2,35,Y,1,13,N,0,0,0,0,0
4,Review,223,6,239,Y,4,12,N,0,0,0,0,0
1,Review,54,3,84,N,0,23,N,0,0,0,0,0
3,Review,9,0,1,N,0,28,N,0,0,0,0,0
3,Review,154,5,128,N,0,11,N,0,0,0,0,0
2,Review,26,1,44,Y,7,10,N,0,0,0,0,0
3,Review,75,0,137,Y,3,10,N,0,0,0,0,0
2,Review,16,0,0,N,0,27,N,0,0,0,0,0
1,Review,28,0,40,N,0,12,N,0,0,0,0,0
4,Review,12,1,33,N,0,17,N,0,0,0,0,0
3,Review,23,0,74,Y,7,22,N,0,0,0,0,0
2,Review,203,6,169,N,0,11,N,0,0,0,0,0
4,Review,25,0,32,N,0,8,N,0,0,0,0,0
5,Review,42,4,64,N,0,11,N,0,0,0,0,0
8,Review,36,0,42,Y,4,15,N,0,0,0,0,0
5,Review,63,2,46,Y,2,12,N,0,0,0,0,0
4,Review,80,7,164,Y,3,10,N,0,0,0,0,0
6,Review,17,4,76,N,0,12,N,0,0,0,0,0
2,Review,38,0,8,N,0,37,N,0,0,0,0,0
4,Review,183,7,132,Y,2,13,N,0,0,0,0,0
1,Review,881,16,391,Y,16,11,N,0,0,0,0,0
3,Review,32,1,84,N,0,13,N,0,0,0,0,0
3,Review,42,6,80,N,0,16,N,0,0,0,0,0
6,Review,51,2,97,N,0,16,N,0,0,1,0,1
4,Review,51,18,333,Y,3,13,N,0,0,0,0,0
1,Review,8,2,30,N,0,16,N,0,0,0,0,0
18,Review,44,0,75,Y,2,11,N,0,1,0,0,0
1,Review,28,1,62,N,0,8,N,0,0,0,0,0
3,Review,10,1,87,N,0,16,N,0,0,0,0,0
1,Review,8,1,34,N,0,7,N,0,0,0,0,0
6,Review,8,0,39,N,0,15,N,0,0,0,0,0
2,Review,120,6,150,Y,3,10,N,0,0,0,0,0
4,Review,78,11,229,Y,1,9,N,0,0,0,0,0
2,Review,5,0,4,N,0,15,N,0,0,0,0,0
1,Review,16,0,4,N,0,77,N,0,1,0,0,0
7,Review,46,3,35,Y,1,12,N,0,0,0,0,0
4,Review,25,2,24,Y,10,32,N,0,1,0,0,0
2,Review,58,10,165,Y,1,12,N,0,0,0,0,0
1,Review,8,3,74,N,0,13,N,0,0,0,0,0
2,Review,20,1,31,N,0,11,N,0,0,0,0,0
5,Review,7,0,13,N,0,21,N,0,0,0,0,0
3,Review,5,0,9,N,0,18,N,0,0,0,0,0
3,Review,39,5,178,Y,6,12,N,0,0,0,0,0
7,Review,23,3,56,Y,14,9,N,1,1,0,0,1
6,Review,11,0,25,N,0,13,N,0,0,0,0,0
2,Review,11,8,88,Y,2,5,N,0,0,0,0,0
2,Review,39,0,23,Y,1,13,N,0,0,0,0,0
1,Review,9,0,55,N,0,24,N,0,0,0,0,0
1,Review,12,1,34,N,0,31,N,0,0,0,0,0
5,Review,10,0,8,N,0,23,N,0,0,0,0,0
3,Review,71,9,205,N,0,14,N,0,0,0,0,0
5,Review,9,0,22,N,0,18,N,0,0,0,0,0
1,Review,8,2,43,N,0,18,N,0,0,0,0,0
5,Review,18,0,54,Y,2,18,N,0,0,0,0,0
9,Review,205,3,296,Y,9,10,N,0,0,0,0,0
3,Review,3,0,1,N,0,13,N,0,0,0,0,0
6,Review,89,0,36,Y,8,8,N,0,0,0,0,0
3,Review,29,3,55,Y,1,8,N,0,0,0,0,0
4,Review,3,1,12,N,0,12,N,0,0,0,0,0
4,Review,347,60,691,Y,22,16,N,0,1,0,0,0
9,Review,29,1,30,N,0,10,N,0,1,0,0,0
22,Review,47,6,73,Y,2,10,N,0,1,0,0,0
2,Review,45,2,98,Y,5,15,N,0,0,0,0,0
2,Review,103,11,628,Y,8,11,N,0,0,0,0,0
4,Review,105,4,205,Y,6,13,N,0,0,0,0,0
5,Review,8,0,0,N,0,19,N,0,0,0,0,0
4,Review,42,2,66,Y,1,22,N,0,0,0,0,0
5,Review,18,2,145,N,0,13,N,0,0,0,0,0
5,Review,36,9,92,Y,3,11,N,0,0,0,0,0
10,Review,46,8,99,Y,4,12,N,0,0,0,0,0
2,Review,6,6,91,N,0,19,N,0,0,0,0,0
6,Review,21,2,32,N,0,20,N,0,0,0,0,0
4,Review,46,1,94,Y,1,13,N,0,1,0,0,0
5,Review,11,0,12,N,0,23,N,0,0,0,0,0
7,Review,162,14,262,Y,9,11,N,0,0,0,0,0
1,Review,40,1,194,Y,3,30,N,0,0,0,0,0
5,Review,9,0,44,N,0,12,N,0,0,0,0,0
2,Review,36,2,87,Y,1,17,N,0,0,0,0,0
7,Review,229,13,440,Y,10,12,N,0,1,0,0,0
3,Review,8,0,2,N,0,32,N,0,0,0,0,0
6,Review,34,9,100,Y,1,17,N,0,0,0,0,0
2,Review,145,6,177,Y,1,24,N,0,0,0,0,0
2,Review,355,51,560,Y,15,23,N,0,0,0,0,0
2,Review,7,1,24,N,0,10,N,0,0,0,0,0
10,Review,69,2,120,N,0,17,N,0,0,0,0,0
2,Review,55,2,32,Y,3,9,N,0,0,0,0,0
1,Review,12,1,13,N,0,6,N,0,0,0,0,0
3,Review,130,9,276,Y,2,16,N,0,0,0,0,0
4,Review,32,0,3,N,0,76,N,0,0,0,0,0
26,Review,51,1,59,Y,1,22,N,0,0,0,0,0
3,Review,9,2,46,Y,3,13,N,0,1,0,0,0
5,Review,39,2,77,N,0,15,N,0,0,0,0,0
3,Review,101,8,122,Y,6,19,N,0,0,0,0,0
5,Review,42,7,85,Y,5,13,N,0,0,0,0,0
4,Review,94,6,185,N,0,20,N,0,0,0,0,0
3,Review,27,1,38,Y,1,13,N,0,1,0,0,0
5,Review,16,3,44,N,0,10,N,0,0,0,0,0
4,Review,5,1,7,N,0,9,N,0,0,0,0,0
4,Review,133,11,243,N,0,18,N,0,0,0,0,0
10,Review,95,3,55,N,0,18,N,0,0,0,0,0
4,Review,76,4,68,N,0,30,N,0,0,0,0,0
12,Review,210,3,154,Y,4,11,N,0,0,0,0,0
3,Review,101,2,126,Y,53,10,N,0,0,0,0,0
8,Review,12,0,14,Y,1,19,N,0,0,0,0,0
2,Review,39,0,12,N,0,39,N,0,0,0,0,0
2,Review,2,0,31,N,0,15,N,0,1,0,0,0
7,Review,37,0,0,N,0,24,N,0,0,0,0,0
1,Review,48,0,35,N,0,16,N,0,0,0,0,0
3,Review,36,6,209,N,0,10,N,0,0,0,0,0
2,Review,6,0,14,N,0,23,N,0,0,0,0,0
1,Review,6,0,42,N,0,9,N,0,0,0,0,0
5,Review,22,3,95,N,0,12,N,0,1,0,0,0
5,Review,119,6,125,N,0,12,N,0,0,0,0,0
2,Review,1,0,4,N,0,19,N,0,0,0,0,0
3,Review,9,0,11,N,0,8,N,0,0,0,0,0
3,Review,37,1,39,N,0,13,N,0,0,0,0,0
2,Review,170,16,391,Y,4,20,N,0,0,0,0,0
2,Review,3,0,0,N,0,24,N,0,0,0,0,0
1,Review,93,8,89,N,0,17,N,0,0,0,0,0
4,Review,21,6,59,Y,1,6,N,0,0,0,0,0
2,Review,102,0,177,Y,9,14,N,0,0,0,0,0
3,Review,32,1,17,Y,1,11,Y,0,0,0,0,0
3,Review,27,2,23,Y,2,10,Y,0,0,0,0,0
3,Review,44,0,59,N,0,12,Y,0,1,0,0,0
8,Review,121,7,150,Y,6,10,Y,0,0,0,0,0
1,Review,371,39,388,N,0,19,Y,0,0,0,0,0
1,Review,227,7,194,N,0,15,Y,0,0,0,0,0
6,Review,110,6,144,Y,3,11,Y,0,0,0,0,0
3,Review,26,0,64,Y,1,9,Y,0,0,0,0,0
8,Review,97,7,300,N,0,12,Y,0,0,0,0,0
2,Review,62,4,75,Y,4,15,Y,0,0,0,0,0
2,Review,150,0,176,Y,16,11,Y,0,0,0,0,0
2,Review,139,1,142,Y,1,18,Y,0,0,0,0,0
2,Review,33,1,48,Y,6,7,Y,0,0,0,0,0
5,Review,55,9,188,N,0,13,Y,0,0,0,0,0
4,Review,115,26,256,Y,2,13,Y,0,0,0,0,0
2,Review,91,1,96,Y,5,12,Y,0,0,0,0,0
4,Review,64,4,60,Y,2,13,Y,0,0,0,0,0
4,Review,53,8,75,Y,1,12,Y,0,0,0,0,0
4,Review,203,6,151,Y,3,10,Y,0,0,0,0,0
2,Review,258,7,186,Y,2,9,Y,0,0,0,0,0
4,Review,266,52,387,Y,5,12,Y,0,0,0,0,0
2,Review,19,0,18,N,0,9,Y,0,0,0,0,0
7,Review,83,0,108,Y,7,14,Y,0,0,0,0,0
2,Review,221,5,128,Y,8,11,Y,0,0,0,0,0
3,Review,4,0,9,N,0,16,Y,0,0,1,0,1
3,Review,152,16,463,Y,18,13,Y,0,0,0,0,0
5,Review,50,1,77,Y,1,11,Y,0,0,0,0,0
10,Review,84,9,101,Y,3,14,Y,0,0,0,0,0
1,Review,295,8,204,Y,7,15,Y,0,1,0,0,0
3,Review,82,9,213,Y,3,10,Y,0,0,0,0,0
4,Review,6,0,8,N,0,21,Y,0,1,0,0,0
16,Review,94,4,120,Y,1,11,Y,0,0,0,0,0
10,Review,72,9,78,Y,14,10,Y,0,0,0,1,1
3,Review,121,1,112,Y,3,14,Y,0,0,0,0,0
7,Review,124,2,52,N,0,14,Y,0,0,0,0,0
2,Review,195,5,202,Y,2,18,Y,0,0,0,0,0
8,Review,60,0,28,Y,1,15,Y,0,0,0,0,0
2,Review,275,4,266,Y,3,12,Y,0,0,0,0,0
16,Review,86,5,65,Y,1,6,Y,0,0,0,0,0
4,Review,130,8,110,Y,3,23,Y,0,1,0,0,0
4,Review,134,2,37,Y,3,11,Y,0,0,0,0,0
2,Review,31,1,28,N,0,14,Y,0,0,0,0,0
3,Review,215,10,189,Y,2,19,Y,0,0,0,0,0
12,Review,181,10,158,N,0,18,Y,0,0,0,0,0
22,Review,90,4,104,Y,6,11,Y,0,0,0,0,0
4,Review,48,3,19,N,0,13,Y,0,0,0,0,0
6,Review,65,5,127,N,0,8,Y,0,0,0,0,0
8,Review,85,3,67,Y,2,26,Y,0,0,1,0,1
2,Review,0,0,11,N,0,3,Y,0,0,0,0,0
7,Review,65,3,141,N,0,16,Y,0,0,0,0,0
16,Review,111,1,94,Y,8,11,Y,0,0,0,0,0
21,Review,110,3,38,Y,13,22,Y,0,0,0,0,0
3,Review,31,6,138,Y,2,12,Y,0,0,0,0,0
8,Review,180,3,181,Y,7,18,Y,0,1,0,0,0
1,Review,229,29,399,Y,2,28,Y,0,0,0,0,0
3,Review,38,2,63,Y,8,15,Y,0,0,0,0,0
1,Review,37,8,129,Y,1,9,Y,0,0,0,0,0
4,Review,159,20,204,Y,3,9,Y,0,0,0,0,0
8,Review,109,8,100,Y,1,12,Y,0,0,0,0,0
9,Review,46,5,68,Y,3,14,Y,0,1,0,0,0
5,Review,67,7,211,Y,2,11,Y,0,0,0,0,0
7,Review,73,3,178,N,0,11,Y,0,0,0,0,0
2,Review,12,1,81,Y,1,28,Y,0,0,0,0,0
3,Review,135,2,94,Y,3,8,Y,0,0,0,0,0
3,Review,71,9,168,Y,2,12,Y,0,0,0,0,0
3,Review,9,0,44,Y,1,19,Y,0,0,0,0,0
5,Review,20,2,22,N,0,21,Y,0,0,0,0,0
2,Review,57,6,178,N,0,14,Y,0,0,0,0,0
3,Review,54,3,140,Y,2,10,Y,0,0,0,0,0
1,Review,135,1,61,N,0,21,Y,0,0,0,0,0
8,Review,19,0,18,N,0,11,Y,0,0,0,0,0
3,Review,84,3,106,Y,8,12,Y,0,0,0,0,0
2,Review,33,5,66,Y,1,9,Y,0,0,0,0,0
5,Review,193,6,141,Y,2,14,Y,0,0,0,0,0
2,Review,60,5,64,N,0,16,Y,0,0,0,0,0
2,Review,106,11,327,N,0,24,Y,0,0,0,0,0
8,Review,105,1,129,Y,3,11,Y,0,0,0,0,0
7,Review,147,31,415,N,0,11,Y,0,1,0,0,0
4,Review,12,3,34,N,0,7,Y,0,0,0,0,0
2,Review,65,13,84,Y,2,9,Y,0,0,0,0,0
10,Review,39,1,32,Y,4,17,Y,0,0,0,0,0
3,Review,100,3,130,N,0,13,Y,0,0,0,0,0
8,Review,103,2,158,N,0,17,Y,0,0,0,0,0
3,Review,44,3,73,N,0,13,Y,0,0,0,0,0
5,Review,37,1,31,N,0,28,Y,0,0,0,0,0
3,Review,19,2,10,Y,2,28,Y,0,0,0,0,0
4,Review,105,4,173,Y,4,10,Y,0,0,0,0,0
16,Review,27,3,59,Y,5,11,Y,0,1,0,0,0
